Long;Lat;Ville;Région;Zone
4,4667;50,8833;Zaventem;Brussels;provinces
4,4667;50,8833;Zaventem;Brussels;regions
4,4667;50,8833;Zaventem;Flemish.Brabant;provinces
5,45092;50,655;Bierset;Liège;provinces
3,8071;50,5879;Chièvres;Hainaut;provinces
4,4167;51,2167;Deurne;Antwerp;provinces
4,6167;50,25;Florennes;Namur;provinces
3,7167;51,05;Gent;East.Flanders;provinces
5,4333;51,1667;Kleine Brogel;Limburg;provinces
2,9167;51,2167;Oostende;West.Flanders;provinces
5,3833;50,0167;Saint Hubert;Luxembourg;provinces
4,614156732;50,6741689;Louvain-la-neuve;Walloon.Brabant;provinces
4,4667;50,8833;Zaventem;Belgium;country
4,6167;50,25;Florennes;Wallonia;regions
3,7167;51,05;Gent;Flanders;regions
